Designator,Mid X,Mid Y,Rotation,Layer
"SW52","~","SW_Gateron_LowProfile_HotSwap_PTH",252.412500,-86.612500,180.000000,top
"SW53","~","SW_Gateron_LowProfile_HotSwap_PTH",233.362500,-86.612500,180.000000,top
"SW54","~","SW_Gateron_LowProfile_HotSwap_PTH",214.312500,-86.612500,180.000000,top
"SW55","~","SW_Gateron_LowProfile_HotSwap_PTH",195.262500,-86.612500,180.000000,top
"SW56","~","SW_Gateron_LowProfile_HotSwap_PTH",176.212500,-86.612500,180.000000,top
"SW57","~","SW_Gateron_LowProfile_HotSwap_PTH",157.162500,-86.612500,180.000000,top
"SW58","~","SW_Gateron_LowProfile_HotSwap_PTH",138.112500,-86.612500,180.000000,top
"SW59","~","SW_Gateron_LowProfile_HotSwap_PTH",119.062500,-86.612500,180.000000,top
"SW60","~","SW_Gateron_LowProfile_HotSwap_PTH",100.012500,-86.612500,180.000000,top
"SW61","~","SW_Gateron_LowProfile_HotSwap_PTH",80.962500,-86.612500,180.000000,top
"SW62","~","SW_Gateron_LowProfile_HotSwap_PTH_1.75u",54.768750,-86.612500,180.000000,top
"SW63","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",9.525000,-124.712500,-90.000000,top
"SW64","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",28.575000,-105.662500,-90.000000,top
"SW65","~","SW_Gateron_LowProfile_HotSwap_PTH",59.531250,-105.662500,180.000000,top
"SW66","~","SW_Gateron_LowProfile_HotSwap_PTH",90.487500,-105.662500,180.000000,top
"SW67","~","SW_Gateron_LowProfile_HotSwap_PTH",109.537500,-105.662500,180.000000,top
"SW68","~","SW_Gateron_LowProfile_HotSwap_PTH",128.587500,-105.662500,180.000000,top
"SW69","~","SW_Gateron_LowProfile_HotSwap_PTH",147.637500,-105.662500,180.000000,top
"SW70","~","SW_Gateron_LowProfile_HotSwap_PTH",166.687500,-105.662500,180.000000,top
"SW71","~","SW_Gateron_LowProfile_HotSwap_PTH",185.737500,-105.662500,180.000000,top
"SW72","~","SW_Gateron_LowProfile_HotSwap_PTH",204.787500,-105.662500,180.000000,top
"SW73","~","SW_Gateron_LowProfile_HotSwap_PTH",223.837500,-105.662500,180.000000,top
"SW74","~","SW_Gateron_LowProfile_HotSwap_PTH",242.887500,-105.662500,180.000000,top
"SW75","~","SW_Gateron_LowProfile_HotSwap_PTH",261.937500,-105.662500,180.000000,top
"SW76","~","SW_Gateron_LowProfile_HotSwap_PTH_1.75u",288.131250,-105.662500,180.000000,top
"SW77","~","SW_Gateron_LowProfile_HotSwap_PTH",319.087500,-110.425000,180.000000,top
"SW78","~","SW_Gateron_LowProfile_HotSwap_PTH",342.900000,-105.662500,180.000000,top
"SW79","~","SW_Gateron_LowProfile_HotSwap_PTH",338.137500,-129.475000,180.000000,top
"SW80","~","SW_Gateron_LowProfile_HotSwap_PTH",319.087500,-129.475000,180.000000,top
"SW81","~","SW_Gateron_LowProfile_HotSwap_PTH",300.037500,-129.475000,180.000000,top
"SW82","~","SW_Gateron_LowProfile_HotSwap_PTH",276.225000,-124.712500,180.000000,top
"SW83","~","SW_Gateron_LowProfile_HotSwap_PTH",257.175000,-124.712500,180.000000,top
"SW84","~","SW_Gateron_LowProfile_HotSwap_PTH",238.125000,-124.712500,180.000000,top
"SW85","~","SW_Gateron_LowProfile_HotSwap_PTH",169.068750,-124.712500,180.000000,top
"SW86","~","SW_Gateron_LowProfile_HotSwap_PTH_1.25u",97.631250,-124.712500,180.000000,top
"SW87","~","SW_Gateron_LowProfile_HotSwap_PTH_1.25u",73.818750,-124.712500,180.000000,top
"SW88","~","SW_Gateron_LowProfile_HotSwap_PTH_1.25u",50.006250,-124.712500,180.000000,top
"SW89","SW_Push","SW_Push_1P1T_NO_6x6mm_H9.5mm",28.575000,-124.712500,-90.000000,top
